,Id,Age,Gender,Departments,Score,Average Score,Communication Skills,Teamwork Skills,Management Skills,Critical Thinking,Computer Skills,Language Skills,Machine Operation Skills,Data Analysis Skills,Sales and Marketing Skills,Writing Skills,Financial Skills,Project Management Skills,Medical Skills,Annual Tuition Budget,Preferred Location,Key Factors for Future Job,Major,Habit,Field of Interest,,
7574,7575,19,2,5,18.38,9.19,4,1,5,2,3,1,2,1,2,1,2,3,2,3,1,"4,1,2",1,3,3,,
7575,7576,19,1,1,16.02,8.01,1,5,1,4,2,3,2,1,3,2,2,1,3,1,1,"2,6,3",5,8,11,,
7576,7577,18,2,1,18.92,9.46,3,3,5,1,3,3,3,1,2,3,1,3,3,1,1,"7,2,5",2,1,4,,
7577,7578,18,1,1,18.7,9.35,5,1,3,5,1,2,1,3,2,1,3,1,3,2,1,"3,2,5",21,6,7,,
7578,7579,16,2,1,15.36,7.68,3,3,5,5,1,3,3,3,2,2,2,1,1,3,1,"1,5,1",1,3,3,,
7579,7580,18,1,1,16.42,8.21,1,3,2,5,3,2,2,2,1,2,2,1,1,1,1,"7,3,1",6,4,5,,
7580,7581,16,2,5,16.3,8.15,5,5,1,4,1,3,1,3,3,2,3,1,1,3,2,"3,2,1",11,2,6,,
7581,7582,17,1,1,16.74,8.37,1,1,1,5,2,1,2,1,1,1,2,1,2,1,3,"5,4,6",16,5,9,,
7582,7583,18,2,1,14.52,7.26,3,2,1,3,1,2,2,1,3,1,3,1,1,2,2,"3,8,4",21,6,7,,
7583,7584,16,1,3,15.18,7.59,1,2,4,5,1,3,2,2,2,3,3,1,2,3,2,"2,1,7",3,1,2,,
7584,7585,18,2,4,17.08,8.54,2,4,1,2,2,2,2,2,2,3,2,3,3,1,1,"4,8,3",15,5,12,,
7585,7586,18,2,2,18.68,9.34,2,3,2,4,2,1,3,2,1,1,3,2,2,2,1,"7,1,1",5,8,11,,
7586,7587,18,1,1,17.48,8.74,1,4,4,4,1,2,3,3,2,1,2,2,2,2,3,"8,1,4",1,3,3,,
7587,7588,16,2,1,18.98,9.49,5,3,3,3,1,3,2,2,1,2,3,2,1,1,2,"8,4,1",1,3,3,,
7588,7589,19,1,5,14.68,7.34,3,4,3,4,2,2,2,3,2,2,3,3,2,2,2,"3,7,5",1,3,3,,
7589,7590,17,2,1,16.54,8.27,1,5,2,5,1,2,1,1,3,1,3,2,3,1,3,"5,8,1",4,8,5,,
7590,7591,17,2,3,16.22,8.11,2,2,3,5,1,2,3,2,2,1,1,3,2,1,1,"1,7,8",4,8,5,,
7591,7592,17,2,4,16.34,8.17,5,3,2,4,1,3,3,1,1,1,2,1,1,1,2,"4,2,1",2,1,4,,
7592,7593,17,2,3,15.84,7.92,4,2,2,2,3,2,3,1,2,2,3,2,1,2,3,"2,5,1",22,4,10,,
7593,7594,18,2,5,14.86,7.43,3,2,5,1,1,3,1,2,1,3,1,1,3,3,3,"1,6,2",1,3,3,,
7594,7595,18,2,1,16.98,8.49,3,1,4,2,2,3,3,3,1,1,2,3,3,1,1,"1,4,6",2,1,4,,
7595,7596,19,1,1,18.98,9.49,4,2,1,2,1,3,2,2,2,2,3,1,2,2,1,"3,8,4",11,2,6,,
7596,7597,16,2,5,14.28,7.14,4,2,5,4,3,2,3,1,3,2,2,2,3,1,2,"6,7,8",1,3,3,,
7597,7598,17,2,1,16.74,8.37,5,3,3,2,3,1,3,2,2,3,1,1,2,1,3,"7,2,3",3,1,2,,
7598,7599,16,2,1,16.72,8.36,4,4,2,4,2,1,3,3,3,3,3,3,3,2,3,"4,6,3",21,6,7,,
7599,7600,17,1,1,16.56,8.28,2,1,4,2,2,1,3,3,1,3,3,1,3,3,1,"1,5,4",2,1,4,,
7600,7601,18,1,3,15.18,7.59,3,4,1,3,1,1,3,1,3,1,2,3,3,2,3,"4,5,8",15,5,12,,
7601,7602,19,2,1,15.18,7.59,2,1,3,5,2,1,3,1,3,1,3,1,2,1,2,"4,5,1",1,3,3,,
7602,7603,16,1,1,18.96,9.48,4,2,4,2,1,3,1,1,1,1,2,1,3,3,3,"6,2,5",16,5,9,,
7603,7604,19,1,5,14.54,7.27,4,4,4,4,1,1,2,1,2,1,1,3,1,1,1,"7,1,5",1,3,3,,
7604,7605,17,1,4,17.3,8.65,4,3,3,1,2,1,2,2,1,3,1,2,2,1,1,"1,1,7",1,3,3,,
7605,7606,17,2,1,18.36,9.18,5,2,1,3,2,3,2,3,3,1,1,3,2,1,2,"8,6,1",6,4,5,,
7606,7607,18,2,5,16.26,8.13,2,5,1,2,3,1,1,1,3,2,1,3,3,3,3,"1,7,3",4,8,5,,
7607,7608,16,1,5,18.24,9.12,1,4,1,3,1,2,3,2,3,1,2,1,2,3,2,"4,3,1",10,2,2,,
7608,7609,16,1,1,17.28,8.64,5,1,3,4,1,2,3,1,1,1,1,2,3,1,3,"5,1,2",3,1,2,,
7609,7610,16,1,3,15.24,7.62,3,4,3,3,2,2,2,3,1,3,1,2,2,1,1,"1,4,5",4,8,5,,
7610,7611,18,2,1,18.48,9.24,1,5,5,1,1,3,2,2,3,3,3,2,2,2,2,"1,1,8",6,4,5,,
7611,7612,19,1,1,15.68,7.84,2,1,5,1,2,3,2,3,3,3,2,3,3,3,3,"6,1,2",1,3,3,,
7612,7613,16,2,3,17.7,8.85,5,5,5,4,3,1,2,1,1,2,3,3,3,3,2,"7,3,5",1,3,3,,
7613,7614,17,2,2,14.84,7.42,5,2,2,5,2,3,2,3,3,3,2,3,3,3,3,"7,6,3",1,3,3,,
7614,7615,18,2,3,16.26,8.13,4,4,5,4,1,1,1,3,3,1,3,2,2,1,1,"4,2,6",1,3,3,,
7615,7616,19,2,3,17.4,8.7,1,4,5,3,3,2,2,1,2,3,1,2,1,1,1,"6,8,1",1,3,3,,
7616,7617,17,2,4,14.74,7.37,1,2,4,3,3,3,3,1,1,3,1,2,1,1,2,"5,7,2",15,5,12,,
7617,7618,17,2,1,18.42,9.21,2,2,3,4,1,1,3,2,1,3,1,3,1,1,2,"1,2,6",8,5,1,,
7618,7619,19,2,1,17.26,8.63,4,1,3,2,1,1,1,2,3,3,2,1,1,2,3,"1,8,7",15,5,12,,
7619,7620,19,2,1,18.16,9.08,5,1,3,5,1,2,3,2,3,3,2,1,1,3,1,"5,8,6",21,6,7,,
7620,7621,17,1,2,14.04,7.02,4,5,5,5,2,2,3,1,3,1,3,3,3,3,3,"2,1,4",15,5,12,,
7621,7622,16,1,1,16.62,8.31,2,2,2,2,1,3,2,3,1,2,3,1,1,3,2,"7,3,1",1,3,3,,
7622,7623,17,2,5,15.48,7.74,2,3,1,2,3,1,1,2,2,3,1,1,2,3,3,"2,8,1",1,3,3,,
7623,7624,16,2,4,15.58,7.79,2,5,5,4,3,3,3,3,2,3,2,3,3,2,1,"8,6,7",6,4,5,,
7624,7625,19,2,5,15.24,7.62,3,1,5,1,2,3,1,2,2,3,3,2,1,2,1,"2,7,5",8,5,1,,
7625,7626,17,1,2,16.24,8.12,4,5,4,2,1,2,1,2,2,2,2,2,1,2,1,"8,1,3",8,5,1,,
7626,7627,19,1,4,17.62,8.81,4,2,3,5,1,1,3,1,1,1,2,2,1,2,1,"1,6,3",3,1,2,,
7627,7628,16,1,1,16.56,8.28,5,1,4,3,3,3,3,2,3,3,2,1,3,2,2,"1,3,7",9,8,1,,
7628,7629,19,2,5,17.04,8.52,5,2,3,3,1,1,2,1,2,3,1,3,3,2,2,"4,6,8",3,1,2,,
7629,7630,16,1,1,15.58,7.79,3,2,3,4,3,3,3,2,3,3,2,1,2,1,3,"8,5,1",9,8,1,,
7630,7631,18,1,5,17.24,8.62,2,1,3,1,3,2,1,3,1,3,2,2,2,1,1,"5,2,4",5,8,11,,
7631,7632,16,2,1,17.5,8.75,2,2,5,3,2,1,1,1,1,1,1,2,3,1,1,"2,8,1",1,3,3,,
7632,7633,16,1,4,16.2,8.1,2,3,2,4,2,1,1,2,2,3,2,3,1,3,2,"4,8,6",18,3,8,,
7633,7634,19,2,1,18.8,9.4,2,1,5,4,1,2,1,3,2,2,3,2,2,3,3,"4,1,5",8,5,1,,
7634,7635,16,1,4,14.66,7.33,2,5,2,1,3,3,3,1,1,1,1,2,1,3,3,"3,1,1",2,1,4,,
7635,7636,16,2,1,18.34,9.17,5,2,2,1,3,3,3,3,2,3,1,1,1,1,3,"5,1,3",4,8,5,,
7636,7637,19,2,1,16.64,8.32,1,3,4,5,1,3,1,1,3,2,1,1,3,3,3,"4,1,3",1,3,3,,
7637,7638,17,2,3,16.74,8.37,3,2,1,1,3,3,1,2,2,2,1,3,1,3,1,"1,7,2",1,3,3,,
7638,7639,16,1,5,18.8,9.4,5,5,2,3,1,1,1,2,2,1,3,2,3,2,1,"1,3,4",6,4,5,,
7639,7640,18,2,5,16.46,8.23,2,2,1,2,1,1,2,1,3,2,2,2,2,1,2,"7,8,5",22,4,10,,
7640,7641,18,2,3,16.98,8.49,3,4,4,5,1,2,2,1,3,2,3,3,3,2,2,"3,8,1",10,2,2,,
7641,7642,19,1,1,15.7,7.85,2,5,3,1,3,3,1,1,3,2,2,2,1,1,3,"7,1,1",11,2,6,,
7642,7643,18,1,5,16.42,8.21,5,2,4,5,2,2,2,2,3,3,1,2,2,3,1,"4,7,5",22,4,10,,
7643,7644,17,2,5,18.08,9.04,1,5,4,2,2,2,3,1,2,3,2,2,2,1,1,"7,8,5",2,1,4,,
7644,7645,17,2,3,16.58,8.29,4,4,3,2,1,2,3,3,1,2,1,2,1,3,1,"3,6,5",1,3,3,,
7645,7646,19,1,1,18.06,9.03,2,1,3,4,2,3,3,2,2,2,1,3,1,3,3,"1,4,5",2,1,4,,
7646,7647,18,1,4,14.78,7.39,2,2,1,3,2,2,1,1,3,2,3,3,3,1,1,"8,5,4",2,1,4,,
7647,7648,19,2,2,18.92,9.46,2,1,5,3,2,3,2,2,2,1,2,2,1,2,3,"2,1,7",11,2,6,,
7648,7649,17,2,5,16.86,8.43,3,2,3,5,1,2,3,2,1,3,3,1,3,1,2,"4,7,8",21,6,7,,
7649,7650,19,2,5,15.36,7.68,3,3,1,2,3,3,2,1,2,3,2,2,3,1,2,"5,1,6",2,1,4,,
7650,7651,19,1,1,16.98,8.49,4,5,3,4,3,1,3,3,2,3,3,1,3,1,3,"8,5,4",4,8,5,,
7651,7652,18,2,1,15.62,7.81,1,3,5,4,3,1,1,2,3,2,2,1,3,1,1,"5,6,1",1,3,3,,
7652,7653,17,1,5,15.34,7.67,1,1,5,5,2,2,3,3,2,2,2,3,3,2,3,"7,1,8",15,5,12,,
7653,7654,17,1,1,14.34,7.17,1,5,1,4,1,1,1,1,2,2,1,3,3,2,3,"1,7,3",9,8,1,,
7654,7655,18,2,1,16.38,8.19,2,3,3,3,2,1,1,3,2,3,2,1,3,3,3,"3,1,4",4,8,5,,
7655,7656,16,1,2,14.22,7.11,3,2,2,5,2,1,3,3,1,1,2,2,1,3,3,"4,8,5",5,8,11,,
7656,7657,17,2,2,16.06,8.03,4,1,2,1,1,1,3,1,1,3,2,3,3,3,1,"7,5,8",5,8,11,,
7657,7658,16,1,1,18,9,5,5,3,1,3,2,2,3,2,1,3,1,2,1,2,"5,6,4",16,5,9,,
7658,7659,18,2,1,14.56,7.28,1,3,5,4,2,2,3,1,3,1,3,2,3,2,2,"3,4,2",2,1,4,,
7659,7660,16,2,1,15.8,7.9,1,1,5,4,1,3,3,3,2,2,1,1,1,3,2,"5,7,1",5,8,11,,
7660,7661,16,1,1,14.26,7.13,4,2,3,3,3,2,3,1,2,2,2,3,1,2,2,"1,5,8",1,3,3,,
7661,7662,17,1,3,16.6,8.3,2,1,1,3,3,3,1,3,3,1,1,1,1,3,3,"1,2,1",11,2,6,,
7662,7663,19,2,3,16.54,8.27,3,4,5,4,1,1,1,1,3,3,1,2,3,2,3,"7,2,4",22,4,10,,
7663,7664,19,1,1,17.06,8.53,2,4,1,2,2,1,2,1,3,3,3,1,1,2,3,"6,4,1",1,3,3,,
7664,7665,19,1,5,16.76,8.38,4,2,4,5,2,2,3,1,2,1,1,2,3,2,3,"1,5,2",3,1,2,,
7665,7666,16,2,5,16.14,8.07,3,1,5,2,2,1,1,1,2,2,1,1,3,1,3,"7,6,1",16,5,9,,
7666,7667,18,1,2,14.36,7.18,1,4,5,3,3,3,3,1,3,3,1,2,1,2,3,"8,5,1",18,3,8,,
7667,7668,19,2,1,15.58,7.79,2,1,4,3,1,3,1,2,2,3,2,1,1,1,2,"2,3,4",2,1,4,,
7668,7669,16,2,2,17.94,8.97,5,4,4,1,2,1,2,3,1,3,2,1,3,2,2,"8,1,3",8,5,1,,
7669,7670,19,2,3,16.96,8.48,1,1,3,2,1,2,3,2,3,1,1,3,3,2,1,"2,4,7",2,1,4,,
7670,7671,19,1,1,15.36,7.68,4,4,3,4,3,3,2,2,1,2,1,2,3,2,3,"4,3,1",4,8,5,,
7671,7672,16,1,3,17.1,8.55,4,2,4,1,1,3,2,2,3,2,3,3,1,3,3,"8,6,2",8,5,1,,
7672,7673,16,2,2,17.7,8.85,5,1,5,2,3,3,1,1,3,2,2,2,3,1,3,"4,8,6",6,4,5,,
7673,7674,19,1,5,16.48,8.24,5,4,4,1,1,3,1,1,3,1,2,1,3,2,2,"2,6,7",1,3,3,,
7674,7675,18,1,1,16.12,8.06,1,3,2,4,3,3,2,2,1,3,1,2,2,3,1,"1,6,7",4,8,5,,
7675,7676,17,1,5,14.66,7.33,1,4,3,4,3,3,3,3,2,2,3,3,1,2,2,"1,1,4",3,1,2,,
7676,7677,17,2,3,15,7.5,5,1,1,3,3,3,2,2,3,2,1,1,3,1,3,"5,7,3",11,2,6,,
7677,7678,17,1,4,16.44,8.22,3,1,3,4,2,1,3,3,1,2,3,1,3,3,2,"8,1,4",2,1,4,,
7678,7679,16,1,2,14.32,7.16,1,4,1,1,2,2,2,3,1,2,1,3,2,3,3,"1,4,1",3,1,2,,
7679,7680,18,1,2,16.48,8.24,5,5,2,1,1,3,3,1,1,1,1,2,2,2,3,"4,1,1",4,8,5,,
7680,7681,18,2,5,15.56,7.78,5,3,4,5,2,2,3,2,1,2,2,3,3,1,2,"1,3,6",3,1,2,,
7681,7682,18,1,4,17.46,8.73,1,1,3,5,3,3,2,3,2,1,3,1,1,3,3,"5,1,3",5,8,11,,
7682,7683,17,2,4,17.14,8.57,1,3,1,2,2,2,3,2,3,1,1,2,3,2,2,"3,1,2",10,2,2,,
7683,7684,19,2,1,14.72,7.36,5,4,3,2,2,3,1,3,3,2,2,3,2,1,3,"8,6,7",10,2,2,,
7684,7685,18,1,2,16.04,8.02,5,1,1,2,3,2,1,1,1,2,2,3,1,3,3,"7,2,1",4,8,5,,
7685,7686,16,1,1,14.28,7.14,2,4,4,5,1,2,2,2,3,3,2,2,3,3,1,"7,1,4",8,5,1,,
7686,7687,16,1,5,14.42,7.21,3,3,3,2,2,1,3,1,1,1,1,3,2,3,1,"1,8,5",3,1,2,,
7687,7688,18,1,2,18.82,9.41,4,4,2,5,2,1,2,3,1,1,1,3,2,2,1,"2,3,1",9,8,1,,
7688,7689,17,1,5,16.16,8.08,3,2,4,2,3,1,3,3,2,1,1,3,1,3,3,"6,8,5",4,8,5,,
7689,7690,18,1,1,16.06,8.03,2,4,2,2,3,2,1,1,3,2,1,2,2,3,3,"2,4,3",2,1,4,,
7690,7691,19,2,1,15.62,7.81,1,4,4,1,2,3,1,1,1,3,2,2,1,1,1,"1,5,8",21,6,7,,
7691,7692,18,2,4,17.08,8.54,3,5,1,4,3,2,1,1,3,1,1,2,3,3,2,"8,3,2",2,1,4,,
7692,7693,17,2,5,15.64,7.82,3,4,5,5,2,2,3,3,2,2,2,2,3,2,2,"2,1,6",8,5,1,,
7693,7694,19,2,1,18,9,3,5,4,5,2,2,3,2,1,1,2,1,1,1,3,"2,7,5",2,1,4,,
7694,7695,18,1,3,15.82,7.91,5,5,2,1,1,3,1,2,2,2,2,3,1,3,2,"5,7,3",21,6,7,,
7695,7696,17,2,3,17.7,8.85,4,4,3,5,2,2,1,1,2,3,3,2,1,3,2,"1,6,5",21,6,7,,
7696,7697,17,1,4,14.62,7.31,1,1,5,5,2,2,1,2,3,1,3,2,2,2,2,"5,4,6",1,3,3,,
7697,7698,18,2,5,18.62,9.31,4,5,3,3,1,2,3,2,2,2,3,2,2,2,3,"3,6,1",2,1,4,,
7698,7699,16,2,1,16.04,8.02,3,2,1,3,3,3,2,2,3,2,1,2,3,1,2,"2,7,4",15,5,12,,
7699,7700,17,1,2,18.44,9.22,2,5,4,4,3,2,3,1,3,2,1,3,2,2,2,"5,1,7",21,6,7,,
7700,7701,16,2,1,15.12,7.56,5,5,5,2,2,1,3,3,3,2,2,2,2,1,1,"7,4,6",8,5,1,,
7701,7702,19,1,1,14.48,7.24,5,5,2,5,2,1,3,1,3,2,1,3,1,2,2,"5,3,8",2,1,4,,
7702,7703,17,2,2,15.4,7.7,2,5,3,3,2,2,1,1,2,2,3,3,1,2,1,"1,8,3",1,3,3,,
7703,7704,17,2,5,14.68,7.34,2,5,1,5,2,3,1,3,3,2,2,1,2,2,1,"3,1,1",18,3,8,,
7704,7705,18,2,5,18.42,9.21,1,1,1,3,2,2,3,1,2,2,3,1,3,2,2,"8,6,2",9,8,1,,
7705,7706,17,2,3,14.92,7.46,2,2,4,2,3,1,1,3,3,2,2,3,3,1,2,"1,4,8",21,6,7,,
7706,7707,18,2,3,17.74,8.87,5,3,4,5,3,1,2,1,2,3,3,1,3,1,2,"6,4,5",3,1,2,,
7707,7708,19,2,2,18.04,9.02,4,4,1,1,2,3,2,1,2,1,2,2,3,1,2,"1,4,3",10,2,2,,
7708,7709,17,2,4,16.5,8.25,2,4,2,4,1,1,1,1,1,2,2,1,2,2,3,"1,5,3",1,3,3,,
7709,7710,16,2,4,15.72,7.86,4,1,3,3,3,2,2,3,1,3,1,3,1,1,2,"8,7,1",10,2,2,,
7710,7711,18,2,4,17.66,8.83,4,5,5,2,3,2,2,2,1,1,2,1,2,2,3,"6,2,5",1,3,3,,
7711,7712,17,1,1,17.54,8.77,3,2,1,3,2,1,3,1,1,1,3,3,3,1,1,"3,1,8",3,1,2,,
7712,7713,17,2,4,18.86,9.43,4,5,1,4,3,1,1,1,2,1,3,2,2,1,1,"1,6,8",3,1,2,,
7713,7714,19,2,2,16.42,8.21,4,3,1,1,1,2,1,1,3,1,3,1,3,3,1,"3,1,1",1,3,3,,
7714,7715,19,1,3,18.22,9.11,5,4,5,3,3,2,2,2,1,3,1,1,2,2,1,"1,1,7",1,3,3,,
7715,7716,19,2,1,14.64,7.32,3,1,5,3,1,2,1,3,2,1,3,1,1,3,2,"3,2,1",16,5,9,,
7716,7717,16,1,2,17.66,8.83,1,4,2,5,2,3,2,2,3,2,2,1,1,2,2,"1,4,3",6,4,5,,
7717,7718,19,2,4,16.4,8.2,3,4,2,5,2,3,1,3,1,2,2,2,3,3,3,"5,1,7",3,1,2,,
7718,7719,17,1,1,18.44,9.22,5,5,4,2,1,2,1,1,3,3,3,1,2,2,3,"1,1,3",3,1,2,,
7719,7720,18,1,4,14.06,7.03,5,1,5,1,1,1,1,2,3,1,1,2,3,3,3,"1,8,3",1,3,3,,
7720,7721,18,1,5,17.46,8.73,3,1,4,5,1,3,1,3,2,2,3,2,3,1,3,"6,2,1",15,5,12,,
7721,7722,18,2,1,17.38,8.69,4,3,5,1,3,1,1,2,2,1,1,3,3,2,3,"3,2,1",3,1,2,,
7722,7723,19,1,3,15.12,7.56,5,1,4,1,1,3,1,1,2,2,2,1,2,1,1,"1,3,1",1,3,3,,
7723,7724,19,1,4,18.66,9.33,1,1,2,1,3,2,3,2,2,3,1,1,2,1,3,"5,8,6",9,8,1,,
7724,7725,17,2,1,14.8,7.4,5,3,3,2,2,1,3,1,2,2,2,1,2,2,1,"5,1,3",18,3,8,,
7725,7726,16,1,3,16.52,8.26,1,2,2,4,3,1,3,3,3,2,3,2,1,3,3,"6,1,2",3,1,2,,
7726,7727,17,2,1,17.92,8.96,3,2,5,5,1,3,1,3,2,3,3,3,3,1,2,"7,1,5",1,3,3,,
7727,7728,19,2,4,16.58,8.29,5,3,1,4,1,2,3,3,1,1,2,3,3,2,2,"1,6,3",5,8,11,,
7728,7729,17,2,1,16.52,8.26,4,3,4,4,1,3,2,2,3,1,2,1,3,2,1,"1,5,1",8,5,1,,
7729,7730,17,2,1,18.12,9.06,1,4,4,3,1,3,3,3,1,1,1,1,3,1,1,"1,3,4",6,4,5,,
7730,7731,18,2,4,17.42,8.71,4,5,3,4,3,3,2,2,3,3,3,3,3,1,1,"7,4,6",6,4,5,,
7731,7732,16,2,3,18.22,9.11,1,4,2,2,1,2,2,3,2,1,1,1,3,3,2,"5,2,8",10,2,2,,
7732,7733,16,2,1,18.64,9.32,5,1,5,4,1,1,3,1,1,3,2,1,3,2,1,"1,7,5",5,8,11,,
7733,7734,18,2,3,16.84,8.42,5,4,1,2,1,1,2,2,2,3,2,3,1,2,3,"4,8,1",6,4,5,,
7734,7735,19,1,4,18.64,9.32,3,2,3,1,3,3,2,2,3,2,3,2,3,2,3,"2,4,8",18,3,8,,
7735,7736,18,1,5,15.32,7.66,3,4,5,1,3,1,1,2,1,1,3,1,1,1,2,"8,7,2",16,5,9,,
7736,7737,17,1,1,17.3,8.65,4,3,1,2,2,1,3,3,2,3,3,2,2,2,3,"1,3,8",6,4,5,,
7737,7738,16,2,5,18.5,9.25,1,1,4,5,1,1,2,1,1,3,3,2,1,2,1,"6,7,1",22,4,10,,
7738,7739,19,2,1,18.3,9.15,2,3,4,2,1,3,2,3,2,3,1,3,2,2,2,"2,7,1",4,8,5,,
7739,7740,19,2,2,17.34,8.67,2,3,5,3,3,2,1,1,2,2,2,1,2,2,1,"8,6,5",16,5,9,,
7740,7741,17,1,1,16.64,8.32,5,1,2,4,2,1,3,3,1,2,1,1,1,1,1,"6,8,4",9,8,1,,
7741,7742,16,2,1,17.72,8.86,2,2,4,1,3,1,1,1,2,1,2,1,3,1,1,"7,4,2",2,1,4,,
7742,7743,16,2,2,15.88,7.94,2,5,3,2,3,3,2,2,3,3,3,2,3,3,1,"5,4,1",3,1,2,,
7743,7744,17,2,4,15.26,7.63,4,3,4,2,2,3,1,2,2,2,1,1,1,2,3,"7,8,4",9,8,1,,
7744,7745,16,2,2,18.96,9.48,4,2,1,5,1,3,3,3,3,2,1,2,3,1,2,"4,8,6",1,3,3,,
7745,7746,19,1,3,18.3,9.15,2,4,3,4,2,1,2,1,3,2,2,2,2,3,3,"2,3,5",2,1,4,,
7746,7747,19,1,2,17.84,8.92,3,3,2,4,1,1,2,2,3,1,1,1,2,1,1,"3,1,2",2,1,4,,
7747,7748,16,2,2,16.6,8.3,2,1,2,3,1,2,2,2,3,3,3,3,3,2,3,"2,1,4",2,1,4,,
7748,7749,16,2,4,14.6,7.3,3,3,4,4,3,3,2,3,2,2,2,2,3,1,2,"1,2,5",4,8,5,,
7749,7750,18,2,4,17.38,8.69,3,5,1,5,3,1,1,3,1,2,1,2,3,1,2,"5,8,6",18,3,8,,
7750,7751,16,1,5,15.56,7.78,1,4,5,5,2,3,2,3,1,3,1,3,1,2,3,"7,6,3",2,1,4,,
7751,7752,16,2,1,15.48,7.74,4,1,3,4,2,1,1,1,1,1,2,1,2,1,2,"3,4,5",8,5,1,,
7752,7753,16,1,2,18.62,9.31,5,3,1,4,3,1,1,1,2,2,2,2,1,3,2,"2,1,3",8,5,1,,
7753,7754,16,1,1,17.2,8.6,1,1,2,2,2,2,1,3,2,3,2,2,1,3,3,"5,1,7",1,3,3,,
7754,7755,19,2,3,15.86,7.93,2,4,4,3,2,2,1,1,2,2,2,1,3,1,2,"3,7,1",1,3,3,,
7755,7756,17,2,2,17.58,8.79,2,3,5,2,2,2,1,3,1,2,3,3,2,2,2,"5,1,6",1,3,3,,
7756,7757,16,1,2,15.24,7.62,5,5,4,4,1,2,3,2,1,2,1,2,1,1,1,"3,1,6",3,1,2,,
7757,7758,19,2,2,18.9,9.45,4,5,1,2,2,3,3,2,1,3,2,1,3,2,3,"5,1,1",21,6,7,,
7758,7759,18,2,1,14.14,7.07,5,2,1,3,3,3,3,3,3,3,3,2,2,2,3,"6,1,3",2,1,4,,
7759,7760,18,2,2,15.14,7.57,5,4,4,5,1,2,3,1,2,3,3,3,2,1,3,"4,5,2",21,6,7,,
7760,7761,18,1,2,18.76,9.38,4,3,4,2,3,1,2,1,3,3,2,3,1,3,3,"7,4,8",3,1,2,,
7761,7762,17,1,2,16.5,8.25,5,2,5,2,1,2,3,2,2,2,3,3,2,3,3,"1,3,6",11,2,6,,
7762,7763,17,2,2,16.54,8.27,2,2,5,4,2,2,1,2,1,3,3,1,2,3,2,"1,5,8",6,4,5,,
7763,7764,18,1,1,16.16,8.08,2,3,1,3,2,3,2,2,1,3,3,1,3,3,1,"5,3,4",3,1,2,,
7764,7765,18,2,3,14.96,7.48,5,2,5,4,1,2,3,2,2,2,1,1,2,2,3,"3,1,4",11,2,6,,
7765,7766,18,2,5,16.92,8.46,4,4,5,1,2,1,2,3,2,3,3,1,2,2,2,"7,2,5",1,3,3,,
7766,7767,16,2,4,18.5,9.25,3,2,1,5,3,2,1,3,2,3,3,2,1,2,2,"1,7,3",2,1,4,,
7767,7768,18,1,3,17.36,8.68,2,1,5,4,1,3,1,3,1,3,3,1,2,2,3,"1,5,4",4,8,5,,
7768,7769,18,2,1,18.7,9.35,2,1,3,3,2,3,3,3,2,2,3,1,1,3,2,"8,6,3",8,5,1,,
7769,7770,19,2,3,18.66,9.33,5,5,1,2,3,2,2,1,2,3,1,1,1,1,3,"5,1,3",3,1,2,,
7770,7771,16,1,5,17.8,8.9,1,4,3,4,3,1,2,1,2,2,1,1,1,3,3,"1,2,1",5,8,11,,
7771,7772,19,2,1,18.24,9.12,1,2,4,4,2,1,2,2,3,1,1,3,1,1,2,"1,1,4",2,1,4,,
7772,7773,17,1,3,18.42,9.21,4,2,2,4,3,1,2,3,3,2,2,1,2,2,1,"2,5,7",6,4,5,,
7773,7774,17,1,3,14.22,7.11,4,5,3,5,3,3,2,1,1,1,3,1,2,3,2,"5,1,1",1,3,3,,
7774,7775,17,1,2,17.18,8.59,5,1,2,3,2,3,2,3,2,2,2,1,2,1,2,"4,5,2",4,8,5,,
7775,7776,18,2,1,17.12,8.56,4,5,3,3,1,3,1,1,1,1,1,3,1,1,1,"3,7,2",5,8,11,,
7776,7777,17,1,3,15.22,7.61,3,3,5,3,3,3,3,3,2,3,3,3,1,3,3,"1,6,7",8,5,1,,
7777,7778,16,1,1,16.94,8.47,5,1,1,1,1,1,1,1,1,1,2,3,2,1,1,"3,1,4",1,3,3,,
7778,7779,18,1,5,18.26,9.13,1,1,5,3,3,2,2,2,3,3,1,3,2,3,1,"7,4,1",2,1,4,,
7779,7780,18,1,5,17.52,8.76,1,4,5,2,3,1,3,3,1,3,1,3,1,3,2,"6,1,3",11,2,6,,
7780,7781,17,1,3,18.86,9.43,1,2,5,2,2,1,1,3,1,1,1,2,2,3,2,"8,7,1",21,6,7,,
7781,7782,18,2,4,14.44,7.22,5,4,4,3,1,3,1,1,2,2,2,3,2,3,1,"8,5,2",9,8,1,,
7782,7783,18,1,5,17.4,8.7,3,2,3,4,2,3,3,1,1,3,3,3,2,3,1,"8,7,2",4,8,5,,
7783,7784,19,1,2,16.34,8.17,4,5,4,4,3,1,3,2,1,3,3,3,3,2,1,"1,7,8",4,8,5,,
7784,7785,16,1,1,16.7,8.35,1,1,3,4,1,1,2,3,3,3,1,1,1,2,3,"3,2,8",5,8,11,,
7785,7786,19,1,1,18.86,9.43,3,1,2,4,1,1,3,3,1,1,3,1,1,3,3,"1,6,5",15,5,12,,
